Time (s) Run #1,Position (m) Run #1,Time (s) Run #2,Position (m) Run #2,Time (s) Run #3,Position (m) Run #3,Time (s) Run #4,Position (m) Run #4,Time (s) Run #5,Position (m) Run #5,Time (s) Run #6,Position (m) Run #6,Time (s) Run #7,Position (m) Run #7,Time (s) Run #8,Position (m) Run #8,Time (s) Run #9,Position (m) Run #9,Time (s) Run #10,Position (m) Run #10
0.0,1.25,0.0,1.1,0.0,1.1,0.0,1.1,0.0,1.07,0.0,1.03,0.0,1.14,0.0,1.05,0.0,1.1,0.0,1.08
0.05,1.25,0.05,1.1,0.05,1.08,0.05,1.1,0.05,1.07,0.05,1.03,0.05,1.14,0.05,1.06,0.05,1.1,0.05,1.08
0.1,1.25,0.1,1.11,0.1,1.07,0.1,1.1,0.1,1.07,0.1,1.04,0.1,1.14,0.1,1.05,0.1,1.09,0.1,1.08
0.15,1.26,0.15,1.1,0.15,1.06,0.15,1.1,0.15,1.07,0.15,1.02,0.15,1.14,0.15,1.06,0.15,1.09,0.15,1.08
0.2,1.26,0.2,1.09,0.2,1.04,0.2,1.1,0.2,1.07,0.2,1.01,0.2,1.15,0.2,1.06,0.2,1.09,0.2,1.08
0.25,1.26,0.25,1.09,0.25,0.98,0.25,1.09,0.25,1.05,0.25,1.0,0.25,1.14,0.25,1.05,0.25,1.08,0.25,1.08
0.3,1.26,0.3,1.07,0.3,0.95,0.3,1.08,0.3,1.03,0.3,0.99,0.3,1.13,0.3,1.04,0.3,1.08,0.3,1.09
0.35,1.26,0.35,1.06,0.35,0.9,0.35,1.07,0.35,1.01,0.35,0.94,0.35,1.12,0.35,1.02,0.35,1.05,0.35,1.08
0.4,1.26,0.4,1.06,0.4,0.85,0.4,1.05,0.4,1.0,0.4,0.9,0.4,1.12,0.4,1.02,0.4,1.06,0.4,1.08
0.45,1.25,0.45,1.04,0.45,0.8,0.45,1.04,0.45,0.98,0.45,0.87,0.45,1.09,0.45,1.02,0.45,1.02,0.45,1.07
0.5,1.24,0.5,1.01,0.5,0.76,0.5,1.03,0.5,0.94,0.5,0.82,0.5,1.06,0.5,0.96,0.5,1.01,0.5,1.07
0.55,1.23,0.55,0.97,0.55,0.7,0.55,1.0,0.55,0.9,0.55,0.78,0.55,1.03,0.55,0.93,0.55,0.98,0.55,1.06
0.6,1.23,0.6,0.93,0.6,0.64,0.6,0.96,0.6,0.86,0.6,0.73,0.6,0.99,0.6,0.89,0.6,0.94,0.6,1.04
0.65,1.2,0.65,0.89,0.65,0.59,0.65,0.91,0.65,0.81,0.65,0.68,0.65,0.95,0.65,0.84,0.65,0.89,0.65,1.01
0.7,1.16,0.7,0.84,0.7,0.54,0.7,0.86,0.7,0.77,0.7,0.63,0.7,0.91,0.7,0.8,0.7,0.85,0.7,0.98
0.75,1.11,0.75,0.8,0.75,0.48,0.75,0.81,0.75,0.72,0.75,0.58,0.75,0.86,0.75,0.75,0.75,0.81,0.75,0.97
0.85,1.03,0.85,0.7,0.85,0.38,0.85,0.71,0.85,0.62,0.85,0.47,0.85,0.77,0.85,0.66,0.85,0.7,0.85,0.92
0.9,0.98,0.9,0.65,0.9,0.32,0.9,0.66,0.9,0.58,0.9,0.42,0.9,0.72,0.9,0.61,0.9,0.66,0.9,0.88
0.95,0.94,0.95,0.6,0.95,0.27,0.95,0.6,0.95,0.53,0.95,0.36,0.95,0.67,0.95,0.56,0.95,0.6,0.95,0.84
1.0,0.89,1.0,0.54,1.0,0.22,1.0,0.54,1.0,0.48,1.0,0.3,1.0,0.62,1.0,0.51,1.0,0.55,1.0,0.8
1.05,0.83,1.05,0.49,1.05,0.16,1.05,0.48,1.05,0.42,1.05,0.25,1.05,0.57,1.05,0.46,1.05,0.5,1.05,0.75
1.1,0.78,1.1,0.43,1.1,0.12,1.1,0.42,1.1,0.37,1.1,0.19,1.1,0.52,1.1,0.41,1.1,0.44,1.1,0.7
1.15,0.74,1.15,0.38,1.15,0.11,1.15,0.37,1.15,0.32,1.15,0.13,1.15,0.47,1.15,0.36,1.15,0.39,1.15,0.65
1.2,0.68,1.2,0.32,,,1.2,0.31,1.2,0.26,1.2,0.12,1.2,0.41,1.2,0.31,1.2,0.34,1.2,0.6
1.25,0.62,1.25,0.27,,,1.25,0.25,1.25,0.21,1.25,0.11,1.25,0.35,1.25,0.25,1.25,0.28,1.25,0.55
1.3,0.57,1.3,0.21,,,1.3,0.19,1.3,0.19,,,1.3,0.3,1.3,0.19,1.3,0.25,1.3,0.49
1.35,0.52,1.35,0.15,,,1.35,0.14,1.35,0.13,,,1.35,0.21,,,1.35,0.19,1.35,0.44
1.4,0.47,1.4,0.11,,,1.4,0.11,,,,,,,,,,,1.4,0.39
1.45,0.41,,,,,,,,,,,,,,,,,1.45,0.33
1.5,0.36,,,,,,,,,,,,,,,,,1.5,0.28
1.55,0.3,,,,,,,,,,,,,,,,,1.55,0.23
1.6,0.25,,,,,,,,,,,,,,,,,1.6,0.2
1.65,0.19,,,,,,,,,,,,,,,,,,
1.7,0.14,,,,,,,,,,,,,,,,,,
1.75,0.11,,,,,,,,,,,,,,,,,,
